IBEX 35
Spain
Null
<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IBEX,D,20031006,000000,6911.00,6918.60,6868.70,6894.20,110400,0
^IBEX,D,20031007,000000,6908.70,6908.70,6839.50,6894.10,100400,0
^IBEX,D,20031008,000000,6867.70,6957.40,6854.30,6924.30,121600,0
^IBEX,D,20031009,000000,6940.00,7019.10,6894.30,7019.10,122400,0
^IBEX,D,20031010,000000,7013.20,7041.30,6951.00,6974.70,133200,0
^IBEX,D,20031013,000000,6997.00,7065.20,6993.50,7063.10,81600,0
^IBEX,D,20031014,000000,7078.30,7082.70,7017.60,7040.70,88000,0
^IBEX,D,20031015,000000,7053.70,7106.80,7034.10,7043.50,123400,0
^IBEX,D,20031016,000000,7027.20,7086.20,7014.40,7034.30,107600,0
^IBEX,D,20031017,000000,7053.70,7067.30,6973.70,6993.60,105000,0
^IBEX,D,20031020,000000,6971.90,7014.90,6960.80,6984.80,96800,0
^IBEX,D,20031021,000000,7017.30,7039.50,6977.20,7007.40,98800,0
^IBEX,D,20031022,000000,7003.80,7028.60,6914.60,6914.60,107200,0
^IBEX,D,20031023,000000,6860.20,6893.40,6812.80,6879.90,119000,0
^IBEX,D,20031024,000000,6876.70,6895.50,6827.80,6869.00,81000,0
^IBEX,D,20031027,000000,6907.00,6966.20,6898.40,6951.00,86600,0
^IBEX,D,20031028,000000,6961.60,7028.90,6957.90,7023.80,118000,0
^IBEX,D,20031029,000000,7064.20,7070.20,7010.40,7030.40,80000,0
^IBEX,D,20031030,000000,7017.70,7152.80,7009.90,7119.10,175400,0
^IBEX,D,20031031,000000,7079.80,7143.20,7072.20,7129.50,156400,0
^IBEX,D,20031103,000000,7138.20,7216.10,7137.10,7215.30,142600,0
^IBEX,D,20031104,000000,7204.70,7239.40,7181.10,7199.70,157400,0
^IBEX,D,20031105,000000,7182.90,7210.90,7148.80,7196.10,114000,0
^IBEX,D,20031106,000000,7193.20,7254.50,7153.90,7228.10,145200,0
^IBEX,D,20031107,000000,7247.90,7302.30,7246.20,7267.80,119400,0
^IBEX,D,20031110,000000,7239.00,7276.10,7211.40,7222.90,94200,0
^IBEX,D,20031111,000000,7198.80,7199.00,7163.70,7191.40,88200,0
^IBEX,D,20031112,000000,7194.40,7246.70,7176.60,7246.70,96600,0
^IBEX,D,20031113,000000,7284.10,7318.90,7235.30,7258.80,140200,0
^IBEX,D,20031114,000000,7259.00,7311.00,7251.30,7293.80,117000,0
^IBEX,D,20031117,000000,7226.00,7226.80,7123.20,7134.00,113800,0
^IBEX,D,20031118,000000,7185.20,7185.20,7088.70,7127.30,121600,0
^IBEX,D,20031119,000000,7065.90,7139.90,7038.00,7131.50,140600,0
^IBEX,D,20031120,000000,7161.30,7161.30,7028.20,7111.60,144200,0
^IBEX,D,20031121,000000,7096.40,7151.80,7082.70,7145.00,117400,0
^IBEX,D,20031124,000000,7163.20,7245.90,7143.50,7243.80,116000,0
^IBEX,D,20031125,000000,7259.90,7272.30,7218.00,7251.90,122600,0
^IBEX,D,20031126,000000,7231.30,7288.20,7226.10,7227.40,124200,0
^IBEX,D,20031127,000000,7245.10,7262.60,7232.60,7249.90,61200,0
^IBEX,D,20031128,000000,7244.60,7272.50,7186.20,7252.50,104200,0
^IBEX,D,20031201,000000,7284.60,7373.50,7280.90,7372.30,138200,0
^IBEX,D,20031202,000000,7366.60,7369.30,7310.70,7348.70,117200,0
^IBEX,D,20031203,000000,7327.40,7386.60,7314.60,7384.30,111000,0
^IBEX,D,20031204,000000,7360.30,7376.00,7318.60,7367.10,107600,0
^IBEX,D,20031205,000000,7355.20,7367.40,7316.70,7348.10,82200,0
^IBEX,D,20031209,000000,7363.90,7413.60,7332.90,7391.00,175400,0
^IBEX,D,20031210,000000,7373.10,7375.20,7298.30,7358.80,132200,0
^IBEX,D,20031211,000000,7379.50,7432.20,7363.00,7432.20,122600,0
^IBEX,D,20031212,000000,7454.10,7477.80,7404.50,7434.40,122200,0
^IBEX,D,20031215,000000,7511.20,7532.50,7462.50,7471.80,154000,0
^IBEX,D,20031216,000000,7433.90,7492.00,7425.90,7487.00,123200,0
^IBEX,D,20031217,000000,7485.80,7509.90,7469.50,7506.30,142800,0
^IBEX,D,20031218,000000,7503.00,7585.50,7491.20,7585.50,152200,0
^IBEX,D,20031219,000000,7583.20,7620.30,7565.60,7617.60,211600,0
^IBEX,D,20031222,000000,7579.90,7651.10,7573.60,7619.10,111600,0
